size  wdev0.csv  hm1.csv
1  10.46 18.29
2  12.86 36.47
4  14.88 77.53
8  18.19 87.49
16  46.98 93.78
32  65.81 95.03
64  70.49 97.57
128  82.65 98.4
256  91.51 98.55
512  93.13 98.55
1024  93.13 98.55
